Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,6582041,0,0.00,0,0.00,6.08,6398759,183282
VXX,4662015,0,0.00,0,0.00,11.99,4552867,109148
IEFA,967646,0,0.00,0,0.00,72.76,927343,40303
ARKG,943764,0,0.00,0,0.00,92.38,939197,4567
VIXY,832692,0,0.00,0,0.00,9.80,820982,11710
EZU,702860,0,0.00,0,0.00,46.32,668486,34374
RSX,596926,0,0.00,0,0.00,25.55,589008,7918
GOVT,533962,0,0.00,0,0.00,26.22,531378,2584
USMV,533353,0,0.00,0,0.00,68.56,528053,5300
ITB,516283,0,0.00,0,0.00,65.47,505154,11129
INDA,454007,0,0.00,0,0.00,42.37,396596,57411
SVXY,447368,0,0.00,0,0.00,46.15,426369,20999
IGV,382528,0,0.00,0,0.00,342.00,380502,2026
EFV,357264,0,0.00,0,0.00,51.34,353275,3989
REM,268474,0,0.00,0,0.00,35.82,234661,33813
CBOE,262544,0,0.00,0,0.00,101.48,261900,644
MTUM,257099,0,0.00,0,0.00,160.83,256516,583
PAVE,187075,0,0.00,0,0.00,24.18,185349,1726
PICK,186310,0,0.00,0,0.00,41.17,182971,3339
ARKQ,170088,0,0.00,0,0.00,85.00,169124,964
JPST,169789,0,0.00,0,0.00,50.75,169089,700
USHY,157958,0,0.00,0,0.00,40.86,141952,16006
VLUE,124019,0,0.00,0,0.00,103.82,123519,500
BBJP,103452,0,0.00,0,0.00,29.21,103288,164
QUAL,99161,0,0.00,0,0.00,120.78,98916,245
IDV,96007,0,0.00,0,0.00,31.83,94762,1245
DMAR,78642,0,0.00,0,0.00,29.80,78642,0
EFAV,71109,0,0.00,0,0.00,73.90,70595,514
ICSH,67191,0,0.00,0,0.00,50.52,67191,0
ECH,66498,0,0.00,0,0.00,34.05,66498,0
EFG,64489,0,0.00,0,0.00,101.22,63072,1417
HYD,63261,0,0.00,0,0.00,61.63,61851,1410
IGE,63229,0,0.00,0,0.00,27.74,63229,0
FMAR,62189,0,0.00,0,0.00,29.81,62189,0
MOAT,58264,0,0.00,0,0.00,68.86,57161,1103
VNM,57276,0,0.00,0,0.00,17.94,57112,164
BBAX,55423,0,0.00,0,0.00,28.67,53237,2186
BBEU,54989,0,0.00,0,0.00,27.54,51089,3900
CEMB,53024,0,0.00,0,0.00,52.15,51594,1430
NOBL,52209,0,0.00,0,0.00,85.00,52171,38
FLOT,46503,0,0.00,0,0.00,50.78,46107,396
BBCA,45646,0,0.00,0,0.00,29.77,44581,1065
IEO,45207,0,0.00,0,0.00,48.55,45207,0
IZRL,44452,0,0.00,0,0.00,32.51,43335,1117
EMHY,44444,0,0.00,0,0.00,44.85,44444,0
HEFA,43803,0,0.00,0,0.00,32.75,43803,0
QMAR,40729,0,0.00,0,0.00,20.19,40729,0
TAIL,39582,0,0.00,0,0.00,19.00,39178,404
TMAT,30476,0,0.00,0,0.00,24.12,30476,0
OGIG,28623,0,0.00,0,0.00,53.96,25865,2758
FDG,27939,0,0.00,0,0.00,74.06,27939,0
ESGV,27390,0,0.00,0,0.00,73.42,27327,63
NEAR,26438,0,0.00,0,0.00,50.17,26438,0
JMST,25540,0,0.00,0,0.00,51.03,25540,0
PRNT,25243,0,0.00,0,0.00,39.34,25203,40
PTLC,23764,0,0.00,0,0.00,34.44,23764,0
ACWV,22912,0,0.00,0,0.00,98.06,22891,21
VSGX,22760,0,0.00,0,0.00,61.96,22423,337
SLVP,21373,0,0.00,0,0.00,15.85,21337,36
IYT,21132,0,0.00,0,0.00,249.96,21132,0
ACES,20588,0,0.00,0,0.00,76.33,20588,0
EEMV,20477,0,0.00,0,0.00,63.10,20183,294
SVAL,20465,0,0.00,0,0.00,30.40,20423,42
GHYG,19944,0,0.00,0,0.00,49.96,19756,188
FGRO,19490,0,0.00,0,0.00,19.24,19490,0
FBCG,19371,0,0.00,0,0.00,29.51,19303,68
NUMV,18414,0,0.00,0,0.00,34.56,18414,0
IFRA,18198,0,0.00,0,0.00,33.77,17486,712
MLN,17876,0,0.00,0,0.00,21.23,17434,442
ESML,16949,0,0.00,0,0.00,38.99,13220,3729
SHYD,16931,0,0.00,0,0.00,24.92,16931,0
NULV,15809,0,0.00,0,0.00,35.73,15809,0
IAGG,15605,0,0.00,0,0.00,54.91,15523,82
CNYA,15093,0,0.00,0,0.00,41.21,14693,400
ICF,14770,0,0.00,0,0.00,57.12,14682,88
SMDV,14216,0,0.00,0,0.00,65.14,14216,0
IPFF,13913,0,0.00,0,0.00,16.84,10013,3900
RYLD,13883,0,0.00,0,0.00,24.45,10658,3225
MFMS,13831,0,0.00,0,0.00,39.17,13631,200
WFHY,13708,0,0.00,0,0.00,51.84,13708,0
NUSC,13371,0,0.00,0,0.00,43.49,13371,0
ITA,13266,0,0.00,0,0.00,103.01,13189,77
ITM,12929,0,0.00,0,0.00,51.04,12929,0
ICVT,12735,0,0.00,0,0.00,100.32,12637,98
JPIB,12036,0,0.00,0,0.00,51.28,11436,600
FBCV,11598,0,0.00,0,0.00,26.62,11598,0
IYZ,10406,0,0.00,0,0.00,32.47,10006,400
SYLD,10264,0,0.00,0,0.00,62.24,9731,533
BBUS,10244,0,0.00,0,0.00,72.31,10244,0
VFVA,10162,0,0.00,0,0.00,94.50,10162,0
BUFD,10121,0,0.00,0,0.00,20.33,10121,0
VIXM,9926,0,0.00,0,0.00,37.35,9926,0
VXZ,9571,0,0.00,0,0.00,30.89,9001,570
HEGD,9485,0,0.00,0,0.00,17.14,9485,0
GSEW,9419,0,0.00,0,0.00,61.88,9367,52
KNG,9062,0,0.00,0,0.00,50.54,7662,1400
BBSA,7783,0,0.00,0,0.00,25.88,7783,0
COWZ,7407,0,0.00,0,0.00,40.46,7307,100
CALF,7046,0,0.00,0,0.00,41.00,6865,181
SMIN,6941,0,0.00,0,0.00,49.10,6940,1
IGHG,6793,0,0.00,0,0.00,75.84,6728,65
GVI,6652,0,0.00,0,0.00,115.11,6252,400
HYDB,6552,0,0.00,0,0.00,51.02,5150,1402
EMGF,6387,0,0.00,0,0.00,52.53,6382,5
FSMO,6162,0,0.00,0,0.00,21.87,6162,0
OILK,6152,0,0.00,0,0.00,58.53,6152,0
KAPR,6052,0,0.00,0,0.00,27.00,6052,0
EDEN,5827,0,0.00,0,0.00,96.48,5827,0
IYJ,5638,0,0.00,0,0.00,103.85,5638,0
FPRO,5447,0,0.00,0,0.00,20.63,5447,0
NULG,5360,0,0.00,0,0.00,57.13,5360,0
FLQL,5319,0,0.00,0,0.00,39.35,5319,0
FMIL,5199,0,0.00,0,0.00,27.37,5199,0
CEFS,4894,0,0.00,0,0.00,20.65,4607,287
PMAR,4709,0,0.00,0,0.00,29.36,4709,0
PSFF,4601,0,0.00,0,0.00,20.98,4601,0
FCPI,4553,0,0.00,0,0.00,27.09,4553,0
MEAR,4341,0,0.00,0,0.00,50.22,4341,0
NAPR,4316,0,0.00,0,0.00,35.73,4316,0
KJAN,4275,0,0.00,0,0.00,30.58,4275,0
GVAL,4167,0,0.00,0,0.00,22.17,4167,0
IBML,4119,0,0.00,0,0.00,26.14,4119,0
FUT,4091,0,0.00,0,0.00,41.44,4091,0
JMUB,4025,0,0.00,0,0.00,54.41,4025,0
TMFC,4024,0,0.00,0,0.00,35.55,3048,976
IBHC,4001,0,0.00,0,0.00,24.54,3501,500
FDEV,3974,0,0.00,0,0.00,28.08,3974,0
WUGI,3943,0,0.00,0,0.00,51.12,3943,0
OMFL,3937,0,0.00,0,0.00,43.88,3937,0
DUDE,3882,0,0.00,0,0.00,26.87,3882,0
PAWZ,3805,0,0.00,0,0.00,71.63,3805,0
BMAR,3774,0,0.00,0,0.00,30.83,3774,0
UMAR,3608,0,0.00,0,0.00,28.40,3608,0
IYLD,3569,0,0.00,0,0.00,23.39,3569,0
TRTY,3403,0,0.00,0,0.00,27.02,3403,0
LKOR,3395,0,0.00,0,0.00,56.75,3295,100
PTEU,3395,0,0.00,0,0.00,23.16,3395,0
SECT,3343,0,0.00,0,0.00,38.30,2824,519
OUSA,3333,0,0.00,0,0.00,39.15,3333,0
FNOV,3319,0,0.00,0,0.00,36.38,3319,0
IEDI,3279,0,0.00,0,0.00,41.39,2679,600
RDFI,3174,0,0.00,0,0.00,28.31,3174,0
PTNQ,3137,0,0.00,0,0.00,52.42,2937,200
IMOM,3105,0,0.00,0,0.00,33.50,3105,0
POCT,3071,0,0.00,0,0.00,28.36,3071,0
FMAG,2912,0,0.00,0,0.00,19.81,2770,142
IEIH,2891,0,0.00,0,0.00,33.11,2891,0
QVAL,2885,0,0.00,0,0.00,32.26,2885,0
UJAN,2877,0,0.00,0,0.00,30.23,2877,0
